year	escape	total_catch	comm_catch	FSC_catch	harvest_rate
1975	45000	58509	58509	NA	0.565255195
1976	30000	53633	51543	2090	0.641289921
1977	30000	43444	39569	3875	0.591525516
1978	20000	11074	6718	4355	0.356375105
1979	18000	48885	46101	2784	0.730881364
1980	24000	47127	41438	5688	0.662575393
1981	40000	45974	40639	5335	0.534743062
1982	20000	14055	11393	2662	0.412714726
1983	25000	36916	31314	5602	0.596227146
1984	45000	23717	16634	7083	0.345140213
1985	50000	41128	32931	8197	0.451321219
1986	19975	24437	19509	4927	0.550234171
1987	30780	39488	33735	5753	0.561962771
1988	30000	47041	39216	7825	0.610596955
1989	15000	14794	8879	5915	0.496542928
1990	20000	23174	18702	4472	0.536758234
1991	52500	31622	21469	10152	0.375906422
1992	41000	25820	18222	7598	0.386411254
1993	15000	14707	9518	5189	0.495068502
1994	25000	31266	30307	959	0.555681939
1995	55000	21904	16454	5451	0.284822636
1996	45000	10026	6257	3769	0.182204776
1997	20000	10438	4576	5863	0.342926605
1998	30000	6126	3852	2273	0.169573161
1999	25000	2083	900	1183	0.076911716
2000	15000	2860	777	2082	0.160134378
2001	30000	2189	453	1736	0.068004598
2002	50000	2999	1074	1924	0.056585973
2003	18000	4760	2727	2033	0.20913884
2004	25000	2035	849	1186	0.075288362
2005	6000	742	221	521	0.110056363
2006	6000	816	191	625	0.11971831
2007	1200	423	79	344	0.260629926
2008	900	423	62	361	0.319900892
2009	3500	1040	404	636	0.2291187
2010	2300	231	66	165	0.091387938
2011	1500	323	232	92	0.177319327
2012	3000	978	790	188	0.245762247
2013	1500	686	623	63	0.313915279
2014	2500	493	189	304	0.164635374
2015	11194	784	498	286	0.06548834
2016	6940	1314	1175	139	0.1592055
2017	5224	501	368	132	0.087495591
